-89.85 -7 1920 1800 928 928
-81.23247	-0.11852 0	10000	10000	30	15	118	2500
-81.18477	-0.04182 0	10000	10000	30	15	118	2500
-80.79937	0.24898	2.2	10000	10000	30	15	118	7700
-80.75177	0.32568	3.1	10000	10000	30	15	118	7700
-80.70407	0.40238	4.2	10000	10000	30	15	118	7700
-80.65647	0.47908	5.3	10000	10000	30	15	118	7700
-80.60887	0.55578	6	10000	10000	30	15	118	7700
-80.56117	0.63248	6.2	10000	10000	30	15	118	7700
-80.51357	0.70918	6.1	10000	10000	30	15	118	7700
-80.46597	0.78588	5.8	10000	10000	30	15	118	7700
-80.41827	0.86258	5	10000	10000	30	15	118	7700
-80.37067	0.93928	4.2	10000	10000	30	15	118	7700
-80.32307	1.01598	3.7	10000	10000	30	15	118	7700
-80.27537	1.09268	3.4	10000	10000	30	15	118	7700
-80.22777	1.16938	3.1	10000	10000	30	15	118	7700
-80.18017	1.24608	2.7	10000	10000	30	15	118	7700
-80.13247	1.32268	2.4	10000	10000	30	15	118	7700
-80.08487	1.39938	2.2	10000	10000	30	15	118	7700
-80.03727	1.47608	2.2	10000	10000	30	15	118	7700
-79.98957	1.55278	2.5	10000	10000	30	15	118	7700
-79.94197	1.62948	3.2	10000	10000	30	15	118	7700
-79.89437	1.70618	4.1	10000	10000	30	15	118	7700
-79.84667	1.78288	4.5	10000	10000	30	15	118	7700
-79.79907	1.85958	4.4	10000	10000	30	15	118	7700
-79.75147	1.93628	4.2	10000	10000	30	15	118	7700
-79.70377	2.01298	3.8	10000	10000	30	15	118	7700
-79.65617	2.08968	3.1	10000	10000	30	15	118	7700
-79.60857	2.16638	2.4	10000	10000	30	15	118	7700
-79.56087	2.24308	1.8	10000	10000	30	15	118	7700
-79.51327	2.31978	0	10000	10000	30	15	118	7700
-79.46567	2.39648	0.7	10000	10000	30	15	118	7700
-79.41797	2.47318	0.4	10000	10000	30	15	118	7700
-79.37037	2.54988	0.3	10000	10000	30	15	118	7700
-79.32277	2.62648	0.2	10000	10000	30	15	118	7700
-79.27507	2.70318	0.2	10000	10000	30	15	118	7700
-79.22747	2.77988	0	10000	10000	30	15	118	7700
-79.17987	2.85658	0	10000	10000	30	15	118	7700
-79.13217	2.93328	0	10000	10000	30	15	118	7700
-79.08457	3.00998	0	10000	10000	30	15	118	7700
-79.03697	3.08668	0	10000	10000	30	15	118	7700
-78.98927	3.16338	0	10000	10000	30	15	118	7700
-78.94167	3.24008	0	10000	10000	30	15	118	7700
-78.89407	3.31678	0	10000	10000	30	15	118	7700
-78.84637	3.39348	0	10000	10000	30	15	118	7700
-78.79877	3.47018	0	10000	10000	30	15	118	7700
-78.75117	3.54688	0	10000	10000	30	15	118	7700
-78.70347	3.62358	0	10000	10000	30	15	118	7700
-78.65587	3.70028	0	10000	10000	30	15	118	7700
-78.60827	3.77698	0	10000	10000	30	15	118	7700
-78.56057	3.85358	0	10000	10000	30	15	118	7700
-78.51297	3.93028	0	10000	10000	30	15	118	7700
-78.46537	4.00698	0	10000	10000	30	15	118	7700
-78.41777	4.08368	0	10000	10000	30	15	118	10300
-81.01157	-0.25742 4.9	10000	10000	30	15	118	10300
-80.96387	-0.18072 5.4	10000	10000	30	15	118	10300
-80.91627	-0.10402 6.2	10000	10000	30	15	118	10300
-80.86867	-0.02732 6.4	10000	10000	30	15	118	10300
-80.82097	0.04938	5.7	10000	10000	30	15	118	10300
-80.77337	0.12608	4.9	10000	10000	30	15	118	10300
-80.72577	0.20268	5	10000	10000	30	15	118	10300
-80.67807	0.27938	5.8	10000	10000	30	15	118	10300
-80.63047	0.35608	7	10000	10000	30	15	118	10300
-80.58287	0.43278	8.1	10000	10000	30	15	118	10300
-80.53517	0.50948	9.1	10000	10000	30	15	118	10300
-80.48757	0.58618	9.7	10000	10000	30	15	118	10300
-80.43997	0.66288	9.9	10000	10000	30	15	118	10300
-80.39227	0.73958	9.7	10000	10000	30	15	118	10300
-80.34467	0.81628	9	10000	10000	30	15	118	10300
-80.29707	0.89298	7.9	10000	10000	30	15	118	10300
-80.24937	0.96968	7	10000	10000	30	15	118	10300
-80.20177	1.04638	6.2	10000	10000	30	15	118	10300
-80.15417	1.12308	5.4	10000	10000	30	15	118	10300
-80.10647	1.19978	4.8	10000	10000	30	15	118	10300
-80.05887	1.27648	4.5	10000	10000	30	15	118	10300
-80.01127	1.35318	4.4	10000	10000	30	15	118	10300
-79.96357	1.42978	4.5	10000	10000	30	15	118	10300
-79.91597	1.50648	5	10000	10000	30	15	118	10300
-79.86837	1.58318	5.8	10000	10000	30	15	118	10300
-79.82067	1.65988	6.8	10000	10000	30	15	118	10300
-79.77307	1.73658	7.5	10000	10000	30	15	118	10300
-79.72547	1.81328	7.7	10000	10000	30	15	118	10300
-79.67777	1.88998	7.6	10000	10000	30	15	118	10300
-79.63017	1.96668	7.2	10000	10000	30	15	118	10300
-79.58257	2.04338	6.3	10000	10000	30	15	118	10300
-79.53487	2.12008	5.3	10000	10000	30	15	118	10300
-79.48727	2.19678	4.3	10000	10000	30	15	118	10300
-79.43967	2.27348	3.2	10000	10000	30	15	118	10300
-79.39197	2.35018	2.1	10000	10000	30	15	118	10300
-79.34437	2.42688	1.4	10000	10000	30	15	118	10300
-79.29677	2.50358	0.9	10000	10000	30	15	118	10300
-79.24907	2.58028	0.7	10000	10000	30	15	118	10300
-79.20147	2.65688	0.8	10000	10000	30	15	118	10300
-79.15387	2.73358	1.2	10000	10000	30	15	118	10300
-79.10617	2.81028	1.5	10000	10000	30	15	118	10300
-79.05857	2.88698	1.5	10000	10000	30	15	118	10300
-79.01097	2.96368	1.4	10000	10000	30	15	118	10300
-78.96327	3.04038	1.4	10000	10000	30	15	118	10300
-78.91567	3.11708	1.2	10000	10000	30	15	118	10300
-78.86807	3.19378	1	10000	10000	30	15	118	10300
-78.82037	3.27048	1.3	10000	10000	30	15	118	10300
-78.77277	3.34718	1.7	10000	10000	30	15	118	10300
-78.72517	3.42388	1.9	10000	10000	30	15	118	10300
-78.67757	3.50058	1.6	10000	10000	30	15	118	10300
-78.62987	3.57728	1.1	10000	10000	30	15	118	10300
-78.58227	3.65398	0.8	10000	10000	30	15	118	10300
-78.53457	3.73068	0.6	10000	10000	30	15	118	10300
-78.48697	3.80738	0.4	10000	10000	30	15	118	10300
-78.43937	3.88408	0.3	10000	10000	30	15	118	10300
-78.39167	3.96068	0.4	10000	10000	30	15	118	10300
-78.34407	4.03738	0.4	10000	10000	30	15	118	12900
-80.93787	-0.30372 10.2	10000	10000	30	15	118	12900
-80.89027	-0.22702 10.6	10000	10000	30	15	118	12900
-80.84267	-0.15032 11	10000	10000	30	15	118	12900
-80.79497	-0.07362 10.7	10000	10000	30	15	118	12900
-80.74737	0.00308	9.8	10000	10000	30	15	118	12900
-80.69977	0.07978	8.8	10000	10000	30	15	118	12900
-80.65207	0.15638	8.4	10000	10000	30	15	118	12900
-80.60447	0.23308	8.9	10000	10000	30	15	118	12900
-80.55687	0.30978	9.7	10000	10000	30	15	118	12900
-80.50917	0.38648	10.8	10000	10000	30	15	118	12900
-80.46157	0.46318	11.9	10000	10000	30	15	118	12900
-80.41397	0.53988	12.9	10000	10000	30	15	118	12900
-80.36627	0.61658	13.5	10000	10000	30	15	118	12900
-80.31867	0.69328	13.6	10000	10000	30	15	118	12900
-80.27107	0.76998	13.1	10000	10000	30	15	118	12900
-80.22337	0.84668	12	10000	10000	30	15	118	12900
-80.17577	0.92338	10.7	10000	10000	30	15	118	12900
-80.12817	1.00008	9.4	10000	10000	30	15	118	12900
-80.08047	1.07678	8.3	10000	10000	30	15	118	12900
-80.03287	1.15348	7.4	10000	10000	30	15	118	12900
-79.98527	1.23018	7	10000	10000	30	15	118	12900
-79.93757	1.30688	6.9	10000	10000	30	15	118	12900
-79.88997	1.38358	7.2	10000	10000	30	15	118	12900
-79.84237	1.46028	7.7	10000	10000	30	15	118	12900
-79.79467	1.53688	8.5	10000	10000	30	15	118	12900
-79.74707	1.61358	9.4	10000	10000	30	15	118	12900
-79.69947	1.69028	10.2	10000	10000	30	15	118	12900
-79.65187	1.76698	10.6	10000	10000	30	15	118	12900
-79.60417	1.84368	10.7	10000	10000	30	15	118	12900
-79.55657	1.92038	10.4	10000	10000	30	15	118	12900
-79.50887	1.99708	9.6	10000	10000	30	15	118	12900
-79.46127	2.07378	8.5	10000	10000	30	15	118	12900
-79.41367	2.15048	7.1	10000	10000	30	15	118	12900
-79.36597	2.22718	5.5	10000	10000	30	15	118	12900
-79.31837	2.30388	4	10000	10000	30	15	118	12900
-79.27077	2.38058	2.8	10000	10000	30	15	118	12900
-79.22317	2.45728	2	10000	10000	30	15	118	12900
-79.17547	2.53398	1.6	10000	10000	30	15	118	12900
-79.12787	2.61068	1.8	10000	10000	30	15	118	12900
-79.08017	2.68738	2.4	10000	10000	30	15	118	12900
-79.03257	2.76398	2.9	10000	10000	30	15	118	12900
-78.98497	2.84068	3.2	10000	10000	30	15	118	12900
-78.93727	2.91738	3.3	10000	10000	30	15	118	12900
-78.88967	2.99408	3.4	10000	10000	30	15	118	12900
-78.84207	3.07078	3.2	10000	10000	30	15	118	12900
-78.79447	3.14748	3.1	10000	10000	30	15	118	12900
-78.74677	3.22418	3.4	10000	10000	30	15	118	12900
-78.69917	3.30088	3.9	10000	10000	30	15	118	12900
-78.65147	3.37758	4	10000	10000	30	15	118	12900
-78.60387	3.45428	3.5	10000	10000	30	15	118	12900
-78.55627	3.53098	2.9	10000	10000	30	15	118	12900
-78.50867	3.60768	2.3	10000	10000	30	15	118	12900
-78.46097	3.68438	1.7	10000	10000	30	15	118	12900
-78.41337	3.76108	1.3	10000	10000	30	15	118	12900
-78.36577	3.83778	1.1	10000	10000	30	15	118	12900
-78.31807	3.91448	1	10000	10000	30	15	118	12900
-78.27047	3.99108	0.9	10000	10000	30	15	118	15400
-80.86427	-0.35002	15.5	10000	10000	30	15	118	15400
-80.81667	-0.27332	15.7	10000	10000	30	15	118	15400
-80.76897	-0.19662	15.5	10000	10000	30	15	118	15400
-80.72137	-0.11992	14.8	10000	10000	30	15	118	15400
-80.67377	-0.04322	13.6	10000	10000	30	15	118	15400
-80.62607	0.03348	12.4	10000	10000	30	15	118	15400
-80.57847	0.11018	11.6	10000	10000	30	15	118	15400
-80.53087	0.18688	11.5	10000	10000	30	15	118	15400
-80.48317	0.26358	12.1	10000	10000	30	15	118	15400
-80.43557	0.34018	13	10000	10000	30	15	118	15400
-80.38797	0.41688	14.2	10000	10000	30	15	118	15400
-80.34027	0.49358	15.5	10000	10000	30	15	118	15400
-80.29267	0.57028	16.4	10000	10000	30	15	118	15400
-80.24507	0.64698	16.8	10000	10000	30	15	118	15400
-80.19737	0.72368	16.5	10000	10000	30	15	118	15400
-80.14977	0.80038	15.6	10000	10000	30	15	118	15400
-80.10217	0.87708	14.1	10000	10000	30	15	118	15400
-80.05447	0.95378	12.6	10000	10000	30	15	118	15400
-80.00687	1.03048	11.2	10000	10000	30	15	118	15400
-79.95927	1.10718	10.2	10000	10000	30	15	118	15400
-79.91157	1.18388	9.6	10000	10000	30	15	118	15400
-79.86397	1.26058	9.5	10000	10000	30	15	118	15400
-79.81637	1.33728	9.6	10000	10000	30	15	118	15400
-79.76867	1.41398	10	10000	10000	30	15	118	15400
-79.72107	1.49058	10.6	10000	10000	30	15	118	15400
-79.67347	1.56728	11.4	10000	10000	30	15	118	15400
-79.62577	1.64398	12.1	10000	10000	30	15	118	15400
-79.57817	1.72068	12.6	10000	10000	30	15	118	15400
-79.53057	1.79738	12.8	10000	10000	30	15	118	15400
-79.48297	1.87408	12.6	10000	10000	30	15	118	15400
-79.43527	1.95078	11.9	10000	10000	30	15	118	15400
-79.38767	2.02748	10.7	10000	10000	30	15	118	15400
-79.33997	2.10418	9.1	10000	10000	30	15	118	15400
-79.29237	2.18088	7.3	10000	10000	30	15	118	15400
-79.24477	2.25758	5.5	10000	10000	30	15	118	15400
-79.19707	2.33428	4	10000	10000	30	15	118	15400
-79.14947	2.41098	3	10000	10000	30	15	118	15400
-79.10187	2.48768	2.5	10000	10000	30	15	118	15400
-79.05427	2.56438	2.8	10000	10000	30	15	118	15400
-79.00657	2.64108	3.5	10000	10000	30	15	118	15400
-78.95897	2.71778	4.4	10000	10000	30	15	118	15400
-78.91127	2.79438	5.1	10000	10000	30	15	118	15400
-78.86367	2.87108	5.7	10000	10000	30	15	118	15400
-78.81607	2.94778	6	10000	10000	30	15	118	15400
-78.76847	3.02448	6.1	10000	10000	30	15	118	15400
-78.72077	3.10118	6.2	10000	10000	30	15	118	15400
-78.67317	3.17788	6.5	10000	10000	30	15	118	15400
-78.62557	3.25458	6.7	10000	10000	30	15	118	15400
-78.57787	3.33128	6.6	10000	10000	30	15	118	15400
-78.53027	3.40798	6	10000	10000	30	15	118	15400
-78.48257	3.48468	5.2	10000	10000	30	15	118	15400
-78.43497	3.56138	4.4	10000	10000	30	15	118	15400
-78.38737	3.63808	3.5	10000	10000	30	15	118	15400
-78.33977	3.71478	2.8	10000	10000	30	15	118	15400
-78.29207	3.79148	2.3	10000	10000	30	15	118	15400
-78.24447	3.86818	1.9	10000	10000	30	15	118	15400
-78.19687	3.94488	1.5	10000	10000	30	15	118	18000
-80.79067	-0.39632	18.8	10000	10000	30	15	118	18000
-80.74297	-0.31962	19.1	10000	10000	30	15	118	18000
-80.69537	-0.24292	18.7	10000	10000	30	15	118	18000
-80.64777	-0.16622	17.7	10000	10000	30	15	118	18000
-80.60007	-0.08952	16.5	10000	10000	30	15	118	18000
-80.55247	-0.01282	15.1	10000	10000	30	15	118	18000
-80.50487	0.06388	14.1	10000	10000	30	15	118	18000
-80.45727	0.14058	13.7	10000	10000	30	15	118	18000
-80.40957	0.21728	13.9	10000	10000	30	15	118	18000
-80.36197	0.29398	14.7	10000	10000	30	15	118	18000
-80.31427	0.37058	15.9	10000	10000	30	15	118	18000
-80.26667	0.44728	17.2	10000	10000	30	15	118	18000
-80.21907	0.52398	18.4	10000	10000	30	15	118	18000
-80.17137	0.60068	19.1	10000	10000	30	15	118	18000
-80.12377	0.67738	19.1	10000	10000	30	15	118	18000
-80.07617	0.75408	18.4	10000	10000	30	15	118	18000
-80.02857	0.83078	17	10000	10000	30	15	118	18000
-79.98087	0.90748	15.4	10000	10000	30	15	118	18000
-79.93327	0.98418	13.9	10000	10000	30	15	118	18000
-79.88557	1.06088	12.8	10000	10000	30	15	118	18000
-79.83797	1.13758	12	10000	10000	30	15	118	18000
-79.79037	1.21428	11.6	10000	10000	30	15	118	18000
-79.74267	1.29098	11.5	10000	10000	30	15	118	18000
-79.69507	1.36768	11.6	10000	10000	30	15	118	18000
-79.64747	1.44438	12	10000	10000	30	15	118	18000
-79.59987	1.52108	12.5	10000	10000	30	15	118	18000
-79.55217	1.59778	13	10000	10000	30	15	118	18000
-79.50457	1.67438	13.4	10000	10000	30	15	118	18000
-79.45687	1.75108	13.5	10000	10000	30	15	118	18000
-79.40927	1.82778	13.2	10000	10000	30	15	118	18000
-79.36167	1.90448	12.4	10000	10000	30	15	118	18000
-79.31407	1.98118	11.2	10000	10000	30	15	118	18000
-79.26637	2.05788	9.5	10000	10000	30	15	118	18000
-79.21877	2.13458	7.6	10000	10000	30	15	118	18000
-79.17117	2.21128	5.7	10000	10000	30	15	118	18000
-79.12347	2.28798	4.1	10000	10000	30	15	118	18000
-79.07587	2.36468	3.1	10000	10000	30	15	118	18000
-79.02817	2.44138	2.8	10000	10000	30	15	118	18000
-78.98057	2.51808	3.3	10000	10000	30	15	118	18000
-78.93297	2.59478	4.3	10000	10000	30	15	118	18000
-78.88537	2.67148	5.5	10000	10000	30	15	118	18000
-78.83767	2.74818	6.8	10000	10000	30	15	118	18000
-78.79007	2.82478	7.9	10000	10000	30	15	118	18000
-78.74247	2.90148	8.6	10000	10000	30	15	118	18000
-78.69477	2.97818	9.1	10000	10000	30	15	118	18000
-78.64717	3.05488	9.4	10000	10000	30	15	118	18000
-78.59957	3.13158	9.5	10000	10000	30	15	118	18000
-78.55187	3.20828	9.5	10000	10000	30	15	118	18000
-78.50427	3.28498	9.1	10000	10000	30	15	118	18000
-78.45667	3.36168	8.5	10000	10000	30	15	118	18000
-78.40897	3.43838	7.5	10000	10000	30	15	118	18000
-78.36137	3.51508	6.5	10000	10000	30	15	118	18000
-78.31377	3.59178	5.5	10000	10000	30	15	118	18000
-78.26607	3.66848	4.5	10000	10000	30	15	118	18000
-78.21847	3.74518	3.7	10000	10000	30	15	118	18000
-78.17087	3.82188	3	10000	10000	30	15	118	18000
-78.12317	3.89858	2.2	10000	10000	30	15	118	20600
-80.71707	-0.44262	19.7	10000	10000	30	15	118	20600
-80.66937	-0.36592	20.3	10000	10000	30	15	118	20600
-80.62177	-0.28922	20.2	10000	10000	30	15	118	20600
-80.57407	-0.21252	19.4	10000	10000	30	15	118	20600
-80.52647	-0.13582	18.2	10000	10000	30	15	118	20600
-80.47887	-0.05912	16.9	10000	10000	30	15	118	20600
-80.43117	0.01758	15.8	10000	10000	30	15	118	20600
-80.38357	0.09428	15.1	10000	10000	30	15	118	20600
-80.33597	0.17098	15.1	10000	10000	30	15	118	20600
-80.28837	0.24768	15.7	10000	10000	30	15	118	20600
-80.24067	0.32438	16.8	10000	10000	30	15	118	20600
-80.19307	0.40108	18.2	10000	10000	30	15	118	20600
-80.14537	0.47768	19.4	10000	10000	30	15	118	20600
-80.09777	0.55438	20.3	10000	10000	30	15	118	20600
-80.05017	0.63108	20.6	10000	10000	30	15	118	20600
-80.00247	0.70778	20.1	10000	10000	30	15	118	20600
-79.95487	0.78448	18.9	10000	10000	30	15	118	20600
-79.90727	0.86118	17.4	10000	10000	30	15	118	20600
-79.85967	0.93788	15.9	10000	10000	30	15	118	20600
-79.81197	1.01458	14.6	10000	10000	30	15	118	20600
-79.76437	1.09128	13.6	10000	10000	30	15	118	20600
-79.71667	1.16798	12.9	10000	10000	30	15	118	20600
-79.66907	1.24468	12.5	10000	10000	30	15	118	20600
-79.62147	1.32138	12.4	10000	10000	30	15	118	20600
-79.57387	1.39808	12.4	10000	10000	30	15	118	20600
-79.52617	1.47478	12.6	10000	10000	30	15	118	20600
-79.47857	1.55148	12.7	10000	10000	30	15	118	20600
-79.43097	1.62808	12.8	10000	10000	30	15	118	20600
-79.38327	1.70478	12.7	10000	10000	30	15	118	20600
-79.33567	1.78148	12.2	10000	10000	30	15	118	20600
-79.28797	1.85818	11.3	10000	10000	30	15	118	20600
-79.24037	1.93488	10	10000	10000	30	15	118	20600
-79.19277	2.01158	8.2	10000	10000	30	15	118	20600
-79.14517	2.08828	6.2	10000	10000	30	15	118	20600
-79.09747	2.16498	4.4	10000	10000	30	15	118	20600
-79.04987	2.24168	2.9	10000	10000	30	15	118	20600
-79.00227	2.31838	2.2	10000	10000	30	15	118	20600
-78.95457	2.39508	2.2	10000	10000	30	15	118	20600
-78.90697	2.47178	3	10000	10000	30	15	118	20600
-78.85927	2.54848	4.4	10000	10000	30	15	118	20600
-78.81167	2.62518	6.1	10000	10000	30	15	118	20600
-78.76407	2.70188	7.8	10000	10000	30	15	118	20600
-78.71647	2.77858	9.4	10000	10000	30	15	118	20600
-78.66877	2.85528	10.6	10000	10000	30	15	118	20600
-78.62117	2.93198	11.4	10000	10000	30	15	118	20600
-78.57357	3.00858	11.8	10000	10000	30	15	118	20600
-78.52587	3.08528	11.8	10000	10000	30	15	118	20600
-78.47827	3.16198	11.6	10000	10000	30	15	118	20600
-78.43067	3.23868	11.1	10000	10000	30	15	118	20600
-78.38297	3.31538	10.3	10000	10000	30	15	118	20600
-78.33537	3.39208	9.3	10000	10000	30	15	118	20600
-78.28777	3.46878	8.2	10000	10000	30	15	118	20600
-78.24007	3.54548	7.1	10000	10000	30	15	118	20600
-78.19247	3.62218	5.9	10000	10000	30	15	118	20600
-78.14487	3.69888	4.9	10000	10000	30	15	118	20600
-78.09717	3.77558	3.8	10000	10000	30	15	118	20600
-78.04957	3.85228	2.9	10000	10000	30	15	118	23200
-80.64337	-0.48892	18.5	10000	10000	30	15	118	23200
-80.59577	-0.41222	19.8	10000	10000	30	15	118	23200
-80.54817	-0.33552	20.2	10000	10000	30	15	118	23200
-80.50047	-0.25882	19.8	10000	10000	30	15	118	23200
-80.45287	-0.18212	18.9	10000	10000	30	15	118	23200
-80.40527	-0.10542	17.8	10000	10000	30	15	118	23200
-80.35757	-0.02872	16.7	10000	10000	30	15	118	23200
-80.30997	0.04798	16	10000	10000	30	15	118	23200
-80.26227	0.12468	15.8	10000	10000	30	15	118	23200
-80.21467	0.20138	16.1	10000	10000	30	15	118	23200
-80.16707	0.27808	17.1	10000	10000	30	15	118	23200
-80.11947	0.35478	18.3	10000	10000	30	15	118	23200
-80.07177	0.43148	19.5	10000	10000	30	15	118	23200
-80.02417	0.50808	20.5	10000	10000	30	15	118	23200
